"LONGITUDE","LATITUDE","TYPEQU"
"-0.1218159","44.8960378","historic"
"0.1510582","44.3693747","historic"
"-0.2676411","44.6645884","historic"
"0.0093646","44.7627583","historic"
"0.1492434","44.4155681","historic"
"0.3077398","44.8072742","historic"
"-0.2969029","44.5357196","historic"
"-0.2986872","44.5355415","historic"
"0.1255597","44.8607645","historic"
"0.0450553","44.7614504","historic"
"0.2551825","44.6227752","historic"
"-0.7006584","44.377322","historic"
"0.0069728","44.7151392","historic"
"-0.0542059","44.2007624","historic"
"0.0089895","44.3519682","historic"
"-0.2620896","44.5586776","historic"
"-1.084513","45.444673","historic"
"-0.882751","44.4827274","historic"
"-1.0218493","44.6359264","historic"
"-0.9591968","45.4079461","historic"
"-0.3540697","44.5621404","historic"
"-0.3030266","44.9293299","historic"
"-0.1462622","44.8471665","historic"
"-0.2829985","44.6982056","historic"
"0.0393563","44.8112415","historic"
"-0.0880397","44.7850002","historic"
"0.0475061","44.321438","historic"
"0.1608772","44.3272504","historic"
"0.0706089","44.3568123","historic"
"-0.0031691","44.2374561","historic"
"0.0301707","44.3625466","historic"
"0.196882","44.3099427","historic"
"0.2733837","44.3633623","historic"
"0.3040904","44.7395307","historic"
"-0.5036937","44.8130386","historic"
"-0.2437017","44.6995325","historic"
"-0.5805585","45.088015","historic"
"0.3295531","44.7410522","historic"
"-0.6307753","44.8035342","historic"
"-0.6143853","44.7736374","historic"
"0.1243408","45.5550086","historic"
"-0.6646624","45.4295238","historic"
"-0.75666","45.5046511","historic"
"-0.5869804","44.855121","historic"
"0.2952869","44.1774129","historic"
"-0.191927","44.9090734","historic"
"0.2357852","44.8588179","historic"
"0.0812072","44.9389981","historic"
"0.0646975","44.8261744","historic"
"0.1369425","45.5650835","historic"
"0.2417035","45.501748","historic"
"0.2665497","45.5541494","historic"
"0.2906927","45.5619169","historic"
"-0.1535061","45.5731173","historic"
"0.1707046","45.2717816","historic"
"-0.6327135","44.7589759","historic"
"-0.6316047","44.759737","historic"
"-0.6310315","44.8070619","historic"
"-0.6258377","44.8045094","historic"
"0.1394505","45.5592165","leisure"
"-0.600021","44.7948414","historic"
"-0.5086501","44.7202447","historic"
"0.1166632","45.5600525","historic"
"-0.5867717","44.8550721","historic"
"-0.4187007","45.0909038","historic"
"0.2979264","44.18233","historic"
"-0.6837812","45.0414124","historic"
"-0.6559623","45.0227736","historic"
"-0.6233371","45.0193728","historic"
"-0.6569277","45.023116","historic"
"-0.16281","44.9003708","historic"
"0.292908","44.20842","historic"
"0.2943952","44.2079259","historic"
"-0.21944","44.3889282","historic"
"-0.4339372","45.3765591","historic"
"-0.1543547","44.8223926","historic"
"-0.5634356","45.4710469","historic"
"-0.3482017","45.4440092","historic"
"-0.6704262","45.5884349","historic"
"-0.7052144","45.5666403","historic"
"-0.2195442","45.1788625","historic"
"-0.212667","45.281513","historic"
"-0.8344808","45.4993913","historic"
"-0.3280288","45.5831508","historic"
"-1.1517293","44.2235717","historic"
"-0.258255","44.3795331","historic"
"-0.834996","45.2026305","historic"
"-1.0468537","45.0780859","historic"
"-1.2053507","44.2202178","historic"
"-0.6868986","45.3887183","historic"
"0.0839418","44.6520268","historic"
"-0.0181789","44.8418614","historic"
"-0.1810286","44.7891846","historic"
"-1.1207944","44.241361","historic"
"0.2895736","44.6279513","historic"
"0.1798428","45.5342572","historic"
"0.0058685","44.6717698","historic"
"-0.2025461","44.3103176","historic"
"-0.884568","44.9646529","historic"
"-1.1220582","45.5144094","historic"
"-0.2170255","44.9479104","historic"
"-0.259228","44.4941777","historic"
"0.0127048","45.5802034","historic"
"-0.502135","44.4921856","historic"
"-0.0681833","44.60975","historic"
"-0.2885797","44.84163","historic"
"-0.0581985","44.6250794","historic"
"0.3316414","44.8364349","historic"
"-0.7188361","45.5504191","historic"
"-0.6763431","45.5725136","historic"
"-0.6300268","45.0760398","historic"
"-1.1468007","44.7950555","historic"
"-0.320967","44.8566049","historic"
"-0.4057881","44.7208837","historic"
"0.2801124","45.5566373","historic"
"-0.4694732","44.9558397","historic"
"-1.1825331","44.6539785","historic"
"-0.5800073","44.8409992","historic"
"-0.5712874","44.8409349","historic"
"-0.5661576","44.8361818","historic"
"-0.693044","44.765591","historic"
"-0.6701141","44.9038341","historic"
"-0.8659418","45.2897343","historic"
"-0.989429","45.5825311","historic"
"-1.1143522","45.5242742","historic"
"-0.6618817","45.0151517","historic"
"-0.3556274","44.650618","historic"
"-0.3420724","44.4098665","historic"
"-0.3340728","44.4078652","historic"
