,LONGITUDE,LATITUDE,TYPEQU
2466,-0.571317,44.864906,E110
2467,-0.571553,44.865036,E110
2468,-0.508928,44.916565,E110
2469,-0.59932,44.824528,E110
2470,-0.598417,44.825268,E110
2471,-0.610483,44.77184,E110
2472,-0.601291,44.767593,E110
2473,-0.601728,44.767696,E110
2474,-0.598533,44.766403,E110
2475,-0.598824,44.766792,E110
2476,-0.596164,44.766148,E110
2477,-0.595324,44.766464,E110
2478,-0.595675,44.76919,E110
2479,-0.59549,44.768864,E110
2480,-0.596799,44.772526,E110
2481,-0.596751,44.77316,E110
2482,-0.600803,44.77024,E110
2483,-0.600848,44.76995,E110
2484,-0.602326,44.76894,E110
2485,-0.602815,44.76887,E110
2486,-0.590719,44.787468,E110
2487,-0.590656,44.78766,E110
2488,-0.59126,44.79059,E110
2489,-0.591315,44.79046,E110
2490,-0.59584,44.775326,E110
2491,-0.595638,44.77534,E110
2492,-0.593517,44.7768,E110
2493,-0.593883,44.776787,E110
2494,-0.593068,44.780262,E110
2495,-0.599843,44.823807,E110
2496,-0.600746,44.823265,E110
2497,-0.594654,44.801292,E110
2498,-0.594686,44.8012,E110
2499,-0.601259,44.81468,E110
2500,-0.60113,44.814644,E110
2501,-0.591476,44.792183,E110
2502,-0.59145,44.792366,E110
2503,-0.608802,44.770874,E110
2504,-0.608883,44.770763,E110
2505,-0.592544,44.79899,E110
2506,-0.591952,44.798244,E110
2507,-0.592359,44.795498,E110
2508,-0.592443,44.795227,E110
2509,-0.602051,44.821106,E110
2510,-0.601823,44.8213,E110
2511,-0.59373,44.778934,E110
2512,-0.593231,44.78301,E110
2513,-0.594057,44.782078,E110
2514,-0.603507,44.82998,E110
2515,-0.600246,44.808754,E110
2516,-0.600294,44.809113,E110
2517,-0.600643,44.804676,E110
2518,-0.600382,44.805737,E110
2519,-0.600475,44.811935,E110
2520,-0.600638,44.8123,E110
2521,-0.601901,44.81818,E110
2522,-0.601979,44.818016,E110
2523,-0.600635,44.826477,E110
2524,-0.60089,44.826702,E110
2525,-0.602991,44.82945,E110
2526,-0.597347,44.801437,E110
2527,-0.596876,44.80101,E110
2528,-0.602724,44.828636,E110
2529,-0.592799,44.854633,E110
2530,-0.593281,44.854248,E110
2531,-0.594548,44.853252,E110
2532,-0.594871,44.85335,E110
2533,-0.563566,44.82487,E110
2534,-0.558432,44.823784,E110
2535,-0.569852,44.86837,E110
2536,-0.57092,44.86803,E110
2537,-0.562962,44.822132,E110
2538,-0.561226,44.827515,E110
2539,-0.565144,44.87048,E110
2540,-0.565162,44.870354,E110
2541,-0.578037,44.864952,E110
2542,-0.579441,44.86452,E110
2543,-0.584094,44.862568,E110
2544,-0.585239,44.862244,E110
2545,-0.590473,44.857693,E110
2546,-0.545651,44.874275,E110
2547,-0.549431,44.87613,E110
2548,-0.549182,44.876,E110
2549,-0.569073,44.82026,E110
2550,-0.565142,44.82137,E110
2551,-0.566275,44.82346,E110
2552,-0.553759,44.875214,E110
2553,-0.554199,44.875156,E110
2554,-0.573999,44.815685,E110
2555,-0.574659,44.815907,E110
2556,-0.590024,44.8586,E110
2557,-0.589055,44.859688,E110
2558,-0.591309,44.82659,E110
2559,-0.582235,44.820934,E110
2560,-0.583343,44.82143,E110
2561,-0.598884,44.83432,E110
2562,-0.59863,44.833725,E110
2563,-0.580495,44.819668,E110
2564,-0.580412,44.81975,E110
2565,-0.587184,44.824074,E110
2566,-0.586804,44.823673,E110
2567,-0.591841,44.82759,E110
2568,-0.577679,44.817802,E110
2569,-0.58166,44.86355,E110
2570,-0.581681,44.86368,E110
2571,-0.591669,44.856373,E110
2572,-0.591643,44.856167,E110
2573,-0.594479,44.852577,E110
2574,-0.594698,44.85204,E110
2575,-0.58669,44.861546,E110
2576,-0.587117,44.86149,E110
2577,-0.596834,44.830402,E110
2578,-0.595935,44.82962,E110
2579,-0.59358,44.82824,E110
2580,-0.592558,44.82831,E110
2581,-0.592946,44.827637,E110
2582,-0.590089,44.825935,E110
2583,-0.597984,44.83096,E110
2584,-0.598398,44.832073,E110
2585,-0.559239,44.872894,E110
2586,-0.559404,44.8729,E110
2587,-0.56935,44.82183,E110
2588,-0.578973,44.818832,E110
2589,-0.620251,44.7687,E110
2590,-0.620218,44.76858,E110
2591,-0.582344,44.811333,E110
2592,-0.582361,44.811794,E110
2593,-0.58067,44.814667,E110
2594,-0.580617,44.814625,E110
2595,-0.576386,44.816788,E110
2596,-0.576556,44.816666,E110
2597,-0.591786,44.80653,E110
2598,-0.614038,44.796425,E110
2599,-0.613975,44.796436,E110
2600,-0.598529,44.79895,E110
2601,-0.598698,44.799015,E110
2602,-0.557524,44.826454,E110
2603,-0.556991,44.82603,E110
2604,-0.564511,44.813026,E110
2605,-0.564798,44.813953,E110
2606,-0.564877,44.814007,E110
2607,-0.563032,44.813263,E110
2608,-0.618356,44.766785,E110
2609,-0.616319,44.769924,E110
2610,-0.6024,44.796543,E110
2611,-0.602642,44.796562,E110
2612,-0.592989,44.806934,E110
2613,-0.593257,44.806763,E110
2614,-0.582928,44.808773,E110
2615,-0.604665,44.79555,E110
2616,-0.605321,44.795708,E110
2617,-0.615189,44.79327,E110
2618,-0.615425,44.793785,E110
2619,-0.611405,44.775944,E110
2620,-0.611203,44.77615,E110
2621,-0.610011,44.7966,E110
2622,-0.609169,44.796104,E110
2623,-0.565729,44.81605,E110
2624,-0.565617,44.815884,E110
2625,-0.620819,44.773403,E110
2626,-0.620965,44.7735,E110
2627,-0.556849,44.84359,E110
2628,-0.614784,44.79249,E110
2629,-0.61325,44.790287,E110
2630,-0.608294,44.78425,E110
2631,-0.555881,44.8367,E110
2632,-0.556827,44.837444,E110
2633,-0.556215,44.84297,E110
2634,-0.556472,44.84323,E110
2635,-0.609614,44.778996,E110
2636,-0.609278,44.779278,E110
2637,-0.611845,44.779446,E110
2638,-0.612017,44.779556,E110
2639,-0.607933,44.78179,E110
2640,-0.607883,44.7816,E110
2641,-0.566246,44.81363,E110
2642,-0.567483,44.81397,E110
2643,-0.584873,44.81089,E110
2644,-0.611571,44.788177,E110
2645,-0.610407,44.787197,E110
2646,-0.589238,44.80707,E110
2647,-0.589085,44.807053,E110
2648,-0.625162,44.757748,E110
2649,-0.593365,44.80291,E110
2650,-0.593253,44.80294,E110
2651,-0.62197,44.760826,E110
2652,-0.622112,44.761463,E110
2653,-0.614459,44.772278,E110
2654,-0.556448,44.829254,E110
2655,-0.587141,44.808727,E110
2656,-0.587372,44.808784,E110
2657,-0.612951,44.791344,E110
