"codgeo","libgeo","an","dens_pop"
33540,"Vendays-Montalivet",2021,"26.44"
33541,"Vensac",2021,"32.21"
33542,"Vérac",2021,"108.14"
33543,"Verdelais",2021,"215.62"
33544,"Le Verdon-sur-Mer",2021,"80.06"
33545,"Vertheuil",2021,"59.63"
33546,"Vignonet",2021,"117.14"
33547,"Villandraut",2021,"89.76"
33548,"Villegouge",2021,"92.83"
33549,"Villenave-de-Rions",2021,"143.46"
33550,"Villenave-d'Ornon",2021,"1901.41"
33551,"Villeneuve",2021,"88.7"
33552,"Virelade",2021,"82.76"
33553,"Virsac",2021,"362.5"
33554,"Yvrac",2021,"338.94"
33555,"Marcheprime",2021,"218.17"
