,TYPEQU,CATEGORIE,LONGITUDE,LATITUDE
168,D502,Action sociale pour enfants en bas-âge,-0.646851680692912,44.8863990103446
169,D502,Action sociale pour enfants en bas-âge,-0.632325268023129,44.8824880045153
170,D502,Action sociale pour enfants en bas-âge,-0.519812605372597,44.8418334611846
171,D502,Action sociale pour enfants en bas-âge,-0.522932997294369,44.832827025155
172,D502,Action sociale pour enfants en bas-âge,-0.595176377978219,44.7682228096801
173,D502,Action sociale pour enfants en bas-âge,-0.598766323325393,44.7666421606342
174,D502,Action sociale pour enfants en bas-âge,-0.640735344348601,44.7690740326843
175,D502,Action sociale pour enfants en bas-âge,-0.599764118396685,44.7855267525167
176,D502,Action sociale pour enfants en bas-âge,-0.615023187734124,44.7768117462478
177,D502,Action sociale pour enfants en bas-âge,-0.608184005474697,44.7735942669557
178,D502,Action sociale pour enfants en bas-âge,-0.0415867936007566,44.391472722323
179,D502,Action sociale pour enfants en bas-âge,-1.06272606437021,44.6207253703202
180,D502,Action sociale pour enfants en bas-âge,-1.07411662506456,44.6191694657755
181,D502,Action sociale pour enfants en bas-âge,-1.10984630719452,44.6373862007362
182,D502,Action sociale pour enfants en bas-âge,-0.676631393647769,44.8739153583127
183,D502,Action sociale pour enfants en bas-âge,-0.689036875773522,44.8723863611146
184,D502,Action sociale pour enfants en bas-âge,-0.674854730276024,44.8702203169896
185,D502,Action sociale pour enfants en bas-âge,-0.686691522614625,44.8812521246222
186,D502,Action sociale pour enfants en bas-âge,-0.680143506895661,44.8738949292506
187,D502,Action sociale pour enfants en bas-âge,-1.05436858856194,45.1916233784135
188,D502,Action sociale pour enfants en bas-âge,-0.369485475286933,44.6021750433299
189,D502,Action sociale pour enfants en bas-âge,-0.361752645235655,44.9193584434663
190,D502,Action sociale pour enfants en bas-âge,-0.526797789137395,44.6817183188047
191,D502,Action sociale pour enfants en bas-âge,-1.07365003532372,44.9801850452823
192,D502,Action sociale pour enfants en bas-âge,-1.19323626195415,45.003242495984
193,D502,Action sociale pour enfants en bas-âge,-0.377312104798376,44.9839812556311
